experiment,sequence,rep,IDX,t_compress,t_decompress
G-PCC,soldier,0,4,22.602,4.349
G-PCC,soldier,1,4,22.62,4.228
G-PCC,soldier,2,4,22.664,4.206
G-PCC,soldier,3,4,22.65,4.341
G-PCC,soldier,4,4,22.728,4.234
G-PCC,soldier,5,4,22.588,4.181
G-PCC,soldier,6,4,22.622,4.326
G-PCC,soldier,7,4,22.633,4.315
G-PCC,soldier,8,4,22.604,4.284
G-PCC,soldier,9,4,22.657,4.235
G-PCC,soldier,10,4,22.785,4.306
G-PCC,soldier,11,4,22.757,4.208
G-PCC,soldier,12,4,22.694,4.306
G-PCC,soldier,13,4,22.692,4.311
G-PCC,soldier,14,4,22.667,4.304
G-PCC,soldier,15,4,22.659,4.302
G-PCC,soldier,16,4,22.525,4.246
G-PCC,soldier,17,4,22.797,4.207
G-PCC,soldier,18,4,22.605,4.308
G-PCC,soldier,19,4,22.736,4.311
G-PCC,soldier,20,4,22.76,4.342
G-PCC,soldier,21,4,22.524,4.299
G-PCC,soldier,22,4,22.602,4.299
G-PCC,soldier,23,4,22.723,4.338
G-PCC,soldier,24,4,22.604,4.276
G-PCC,soldier,25,4,22.657,4.324
G-PCC,soldier,26,4,22.786,4.227
G-PCC,soldier,27,4,22.716,4.176
G-PCC,soldier,28,4,22.558,4.279
G-PCC,soldier,29,4,22.732,4.318
G-PCC,soldier,0,5,24.886,4.893
G-PCC,soldier,1,5,24.894,4.903
G-PCC,soldier,2,5,24.76,4.872
G-PCC,soldier,3,5,24.878,4.796
G-PCC,soldier,4,5,24.899,4.914
G-PCC,soldier,5,5,24.91,4.785
G-PCC,soldier,6,5,24.775,4.837
G-PCC,soldier,7,5,24.887,4.867
G-PCC,soldier,8,5,24.817,4.887
G-PCC,soldier,9,5,24.866,4.833
G-PCC,soldier,10,5,24.802,4.888
G-PCC,soldier,11,5,24.844,4.9
G-PCC,soldier,12,5,24.783,4.899
G-PCC,soldier,13,5,24.764,4.841
G-PCC,soldier,14,5,24.756,4.945
G-PCC,soldier,15,5,24.844,4.899
G-PCC,soldier,16,5,24.82,4.912
G-PCC,soldier,17,5,24.8,4.935
G-PCC,soldier,18,5,24.754,4.874
G-PCC,soldier,19,5,24.826,4.876
G-PCC,soldier,20,5,24.852,4.964
G-PCC,soldier,21,5,24.798,4.795
G-PCC,soldier,22,5,24.781,4.909
G-PCC,soldier,23,5,24.905,4.87
G-PCC,soldier,24,5,24.988,4.926
G-PCC,soldier,25,5,24.789,4.884
G-PCC,soldier,26,5,24.837,4.843
G-PCC,soldier,27,5,24.888,4.867
G-PCC,soldier,28,5,24.801,4.893
G-PCC,soldier,29,5,24.891,4.923
IT-DL-PCC,soldier,0,0,176.58218717575073,45.37583041191101
IT-DL-PCC,soldier,1,0,178.19868636131287,45.0890896320343
IT-DL-PCC,soldier,2,0,176.93170380592346,45.30035638809204
IT-DL-PCC,soldier,3,0,177.48295712471008,45.18740367889404
IT-DL-PCC,soldier,4,0,176.5707528591156,45.30029630661011
IT-DL-PCC,soldier,5,0,177.14476823806763,45.32760405540466
IT-DL-PCC,soldier,6,0,176.39526772499084,45.296597480773926
IT-DL-PCC,soldier,7,0,176.52593111991882,45.30962872505188
IT-DL-PCC,soldier,8,0,179.20856022834778,45.100409746170044
IT-DL-PCC,soldier,9,0,179.36654615402222,45.151183128356934
IT-DL-PCC,soldier,10,0,176.56501579284668,45.71971392631531
IT-DL-PCC,soldier,11,0,176.95627617835999,44.75931477546692
IT-DL-PCC,soldier,12,0,175.62078309059143,45.26112937927246
IT-DL-PCC,soldier,13,0,176.9750053882599,45.65352773666382
IT-DL-PCC,soldier,14,0,176.68220019340515,45.280094146728516
IT-DL-PCC,soldier,15,0,177.14498853683472,45.300761222839355
IT-DL-PCC,soldier,16,0,177.27461004257202,45.33378982543945
