metric,pointCloud,method,BD-PSNR,BD-Rate
sym_y_psnr,stmichael,V-PCC,-1.244308796028418,60.401296634024426
sym_y_psnr,stmichael,IT-DL-PCC,0.7494716018155902,-7.555569978994003
sym_y_psnr,stmichael,JPEG-Pleno,0.3505299724418589,-11.75417452971903
sym_y_psnr,thaidancer,G-PCC,-0.40181475325208377,24.66202561653692
sym_y_psnr,thaidancer,V-PCC,-5.300693958551305,182.42314956081657
sym_y_psnr,thaidancer,IT-DL-PCC,1.2200664366430642,-38.84340334703408
sym_y_psnr,thaidancer,JPEG-Pleno,-3.320451927407274,94.36838487972985
sym_y_psnr,Facade,G-PCC,-2.886130158009579,-99.99999999770473
sym_y_psnr,Facade,V-PCC,-4.025429452760469,-98.63366746261619
sym_y_psnr,Facade,IT-DL-PCC,-1.977568490179866,-99.99915625992307
sym_y_psnr,Facade,JPEG-Pleno,-3.7737091299964955,8409.164766065584
sym_y_psnr,CITISUP,G-PCC,-1.078637867484212,64.2944320807175
sym_y_psnr,CITISUP,V-PCC,-2.015938753729726,246.75885493915058
sym_y_psnr,CITISUP,IT-DL-PCC,-0.9198007747115453,100.47506219621516
sym_y_psnr,CITISUP,JPEG-Pleno,-0.8859235416781013,108.92581187836097
sym_y_psnr,House,G-PCC,-2.4905719535757838,177.16152185918043
sym_y_psnr,House,V-PCC,-3.1534911793626974,750.7012187983664
sym_y_psnr,House,IT-DL-PCC,0.16264600565321297,99.7664541269087
sym_y_psnr,House,JPEG-Pleno,-1.4841986250420394,168.50917991658898
sym_y_psnr,boxer,G-PCC,0.40794336750594423,-8.23112445320392
sym_y_psnr,boxer,V-PCC,-3.7114440918862477,220.96890306376835
sym_y_psnr,boxer,IT-DL-PCC,3.1154093929346356,-65.86384814062882
sym_y_psnr,boxer,JPEG-Pleno,-1.9749177521749224,164.38029548659583
sym_y_psnr,EPFL,G-PCC,-2.872226577019899,173.2761034083788
sym_y_psnr,EPFL,V-PCC,-1.8468514637079243,1028.962607502906
sym_y_psnr,EPFL,IT-DL-PCC,-1.0482393188006358,210.92023229737293
sym_y_psnr,EPFL,JPEG-Pleno,-1.816844898333922,310.41236180640385
sym_y_psnr,Unicorn,G-PCC,-7.165542455929306,1055.3463723840453
sym_y_psnr,Unicorn,V-PCC,-7.414078808435872,
sym_y_psnr,Unicorn,IT-DL-PCC,-4.004333695995198,
sym_y_psnr,Unicorn,JPEG-Pleno,-3.255636216597394,1202.2752256297174
sym_y_psnr,shiva,G-PCC,-3.09627007658163,140.47569672182956
sym_y_psnr,shiva,V-PCC,-1.780795972879859,540130.9939527
sym_y_psnr,shiva,IT-DL-PCC,-1.1138787492980655,217.30321747318814
sym_y_psnr,shiva,JPEG-Pleno,-1.6197291580766862,1005.2657851080002
sym_y_psnr,Arco,G-PCC,-3.151248149476186,612.4465970021964
sym_y_psnr,Arco,V-PCC,-1.326517023714385,2706.1363430871306
sym_y_psnr,Arco,IT-DL-PCC,-1.6549099980792212,4791.012716751228
sym_y_psnr,Arco,JPEG-Pleno,-1.2535474325239881,1666.2525327300834
sym_p2p_psnr,soldier,G-PCC,5.7200638043359735,-56.150675068496035
sym_p2p_psnr,soldier,V-PCC,2.1074775960923238,-23.534594863349668
sym_p2p_psnr,soldier,IT-DL-PCC,0.2235495240578316,4.177263933244024
sym_p2p_psnr,soldier,JPEG-Pleno,-1.2584060724489645,26.57973933314006
sym_p2p_psnr,bouquet,G-PCC,2.5396115282189156,9.208077981178931
sym_p2p_psnr,bouquet,V-PCC,-0.8653633487396161,6261.030846898109
sym_p2p_psnr,bouquet,IT-DL-PCC,0.20248323495641857,80.63159374594227
sym_p2p_psnr,bouquet,JPEG-Pleno,-4.668522781977639,442.8640087484987
sym_p2p_psnr,stmichael,G-PCC,2.668582660151127,4.188187127841858
sym_p2p_psnr,stmichael,V-PCC,-2.6013842915850924,-13.599540793570263
sym_p2p_psnr,stmichael,IT-DL-PCC,-1.593302921270082,81.52245894578083
sym_p2p_psnr,stmichael,JPEG-Pleno,-2.4982071670048662,132.11666094584166
sym_p2p_psnr,thaidancer,G-PCC,3.204373653787209,-48.969176600494094
sym_p2p_psnr,thaidancer,V-PCC,-2.8973817993489246,76.75311680444328
sym_p2p_psnr,thaidancer,IT-DL-PCC,-1.4311379080124416,31.79080807532271
sym_p2p_psnr,thaidancer,JPEG-Pleno,-5.913680170843639,226.19203319310293
sym_p2p_psnr,Facade,G-PCC,-4.233484443747827,140.92806808310095
sym_p2p_psnr,Facade,V-PCC,-5.474342989683821,2220.4247593695745
sym_p2p_psnr,Facade,IT-DL-PCC,-3.2246082159759775,396.1445691434667
sym_p2p_psnr,Facade,JPEG-Pleno,-3.924850351419525,294.7393844122436
sym_p2p_psnr,CITISUP,G-PCC,-11.64881899876603,2541.383743133172
sym_p2p_psnr,CITISUP,V-PCC,-13.796330860298564,
sym_p2p_psnr,CITISUP,IT-DL-PCC,-11.385832901418146,
sym_p2p_psnr,CITISUP,JPEG-Pleno,-11.306967881561254,
sym_p2p_psnr,House,G-PCC,-5.196319547531822,684.0522046962627
sym_p2p_psnr,House,V-PCC,-6.4707806651317075,1840.0932081191343
sym_p2p_psnr,House,IT-DL-PCC,-2.7352278519857607,539.400191408476
sym_p2p_psnr,House,JPEG-Pleno,-5.896331143180114,2277.4499867750765
sym_p2p_psnr,boxer,G-PCC,0.050117294119746685,233.7307107529228
sym_p2p_psnr,boxer,V-PCC,-3.0474933903598136,
sym_p2p_psnr,boxer,IT-DL-PCC,-2.3870536320681817,-93.33537858165658
sym_p2p_psnr,boxer,JPEG-Pleno,-4.032295566778784,2007.8613085234845
sym_p2p_psnr,EPFL,G-PCC,-6.111299280088468,82.50661721656878
sym_p2p_psnr,EPFL,V-PCC,-7.987381512823866,
sym_p2p_psnr,EPFL,IT-DL-PCC,-5.73357230369679,
